Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
IRIM11,Indefinido,"136.990,24",71.0,"1,29 %","-7,31 %","164.956.806,41",2.569
ISCJ11,Papéis,15955,65.0,"0,69 %","-1,34 %","43.162.538,21",49
ITIP11,Papéis,"61.992,10",92.0,"0,92 %","-2,10 %","50.999.160,23",10.060
ITIT11,Fundo de Fundos,"78.880,19",90.0,"0,87 %","-2,24 %","65.553.225,35",11.427
ITRI11,Shoppings,"2.336.274,86",77.0,"1,01 %","-3,44 %","555.452.636,32",18.316
IVCI11,Papéis,,97.0,"0,76 %","-2,40 %","49.838.996,43",16
JASC11,Imóveis Comerciais - Outros,"3.428,52",92.0,"0,59 %","1,98 %","374.275.484,82",168
JBFO11,Papéis,8200,20.0,"43,82 %","-67,16 %","96.860.576,67",366
JCCJ11,Papéis,"1.555.516,86",89.0,"0,00 %","0,00 %","298.671.800,64",115
JCIN11,Fundo de Fundos,"1.318.578,57",100.0,"0,00 %","0,00 %","196.986.234,08",7
JFLL11,Imóveis Residenciais,"2.207.054,05",67.0,"0,82 %","4,91 %","155.822.067,13",2.305
JGPX11,Indefinido,"578.130,05",55.0,"0,92 %","-12,25 %","197.066.058,70",7.198
JMBI11,Outros,"1.972.435,25",,"0,00 %","0,00 %",,0
JPPA11,Papéis,"183.494,05",78.0,"1,31 %","0,82 %","87.258.519,78",7.388
JRDM11,Shoppings,"610.682,00",135.0,"0,00 %","0,00 %","118.155.565,38",8.102
JSAF11,Fundo de Fundos,"2.039.158,05",80.0,"1,12 %","-3,85 %","699.232.365,35",18.226
JSCR11,Papéis,"618.699,43",87.0,"1,30 %","-13,33 %","210.478.145,84",2.869
JSRE11,Misto,"2.253.067,95",53.0,"0,83 %","-6,20 %","2.276.496.116,46",96.556
JURO11,Indefinido,"8.175.139,43",,"1,00 %","-3,67 %",,0
KCRE11,Indefinido,"548.633,24",83.0,"0,90 %","0,80 %","343.041.075,77",14.698
KDIF11,Indefinido,"3.838.841,33",,"0,95 %","-4,70 %",,0
KDOL11,Misto,"208.059,80",93.0,"0,49 %","0,00 %","73.651.186,11",2.151
KEVE11,Fundo de Desenvolvimento,"56.049,29",161.0,"5,87 %","-9,93 %","87.604.069,67",453
KFOF11,Fundo de Fundos,"2.168.773,00",84.0,"0,99 %","0,37 %","589.549.744,07",23.514
KINP11,Fundo de Desenvolvimento,"38.394,20",15.0,"0,00 %","0,00 %","118.155.565,38",8.102
KISU11,Fundo de Fundos,"1.010.579,67",88.0,"0,94 %","-2,86 %","342.118.998,28",118.955
KIVO11,Papéis,"791.154,38",64.0,"1,23 %","-3,85 %","196.542.317,40",6.522
KNCA11,Indefinido,"5.212.020,19",82.0,"0,98 %","-1,85 %","2.206.819.811,63",69.674
KNCR11,Papéis,"15.265.434,81",96.0,"0,92 %","0,05 %","7.339.787.633,33",378.214
KNHF11,Indefinido,"5.092.443,43",80.0,"1,07 %","-3,89 %","1.910.360.224,25",39.658
KNHY11,Papéis,"5.276.231,90",98.0,"1,04 %","0,10 %","2.808.080.278,75",27.574
KNIP11,Papéis,"10.544.708,67",95.0,"1,00 %","-0,27 %","7.440.193.244,32",75.898
KNOX11,Indefinido,"373.252,14",,"2,47 %","-3,53 %",,0
KNPR11,Indefinido,,,"0,00 %","0,00 %","50.714.254,34",593
KNRE11,Fundo de Desenvolvimento,"1.512,10",29.0,"12,52 %","-44,00 %","15.191.421,28",6.287
KNRI11,Misto,"6.875.304,14",82.0,"0,76 %","-3,87 %","4.553.041.797,28",287.624
KNSC11,Papéis,"8.107.590,43",92.0,"0,94 %","-3,31 %","1.787.379.056,94",184.639
KNUQ11,Indefinido,"4.971.772,86",94.0,"0,96 %","1,45 %","1.547.793.522,55",27.806
KOPA11,Indefinido,"631.983,57",80.0,"1,38 %","0,14 %","353.428.275,02",3.796
KORE11,Lajes Corporativas,"3.400.141,95",71.0,"1,51 %","-8,17 %","1.020.500.511,51",20.192
LASC11,Shoppings,"1.525.343,52",86.0,"0,61 %","-2,11 %","370.415.268,35",401
LAVF11,Indefinido,,,"0,00 %","0,00 %","118.155.565,38",8.102
LFTT11,Papéis,"9.696,67",39.0,"9,77 %","-9,39 %","65.609.766,66",586
LGCP11,Imóveis Industriais e Logísticos,"163.106,04",64.0,"1,09 %","-5,80 %","457.171.677,92",19.183
LIFE11,Imóveis Comerciais - Outros,"1.112.639,33",84.0,"1,41 %","-3,04 %","341.603.348,20",13.038
LLAO11,Misto,"551.253,00",106.0,"2,11 %","0,00 %","22.096.064,44",77
LOFT11B,Fundo de Desenvolvimento,,744.0,"0,00 %","0,00 %","7.892.664,00",1
LPLP11,Indefinido,50000,131.0,"0,63 %","-9,11 %","146.954.781,11",8
LSAG11,Misto,"83.700,29",,"1,37 %","-0,65 %",,0
LSPA11,Papéis,"8.983,43",115.0,"86,84 %","0,00 %","8.415.548,38",707
LTMT11,Imóveis Residenciais,67457,90.0,"8,80 %","0,00 %","10.065.415,24",114
LUGG11,Fundo de Desenvolvimento,"23.956,00",55.0,"0,87 %","-3,41 %","132.968.746,75",7.962
